timestamp,step,loss_total,loss_mse,loss_cmc,cos_pos,cos_neg
2026-06-29 11:12:29,119,-0.815664,0.013129,-0.828793,0.625508,0.211112
2026-06-29 11:12:29,120,-1.202301,0.020915,-1.223216,0.750819,0.139211
2026-06-29 11:12:29,121,-0.827207,0.016683,-0.843891,0.658878,0.236932
2026-06-29 11:12:30,122,-0.886531,0.020742,-0.907273,0.556287,0.102651
2026-06-29 11:12:30,123,-0.569799,0.035679,-0.605478,0.837285,0.534546
2026-06-29 11:12:30,124,-1.15732,0.018787,-1.176108,0.481608,-0.106446
2026-06-29 11:12:30,125,-0.874945,0.018508,-0.893453,0.762085,0.315359
2026-06-29 11:12:31,126,-0.786304,0.021562,-0.807866,0.785478,0.381545
2026-06-29 11:12:31,127,-0.87203,0.01385,-0.885881,0.75009,0.30715
2026-06-29 11:12:31,128,-0.665656,0.013916,-0.679572,0.624903,0.285117
2026-06-29 11:12:32,129,-0.938366,0.016242,-0.954608,0.56171,0.084407
2026-06-29 11:12:33,130,-0.895562,0.026875,-0.922437,0.482544,0.021326
2026-06-29 11:12:33,131,-0.322267,0.018894,-0.341161,0.502789,0.332208
2026-06-29 11:12:33,132,-0.105975,0.027349,-0.133323,0.738543,0.671881
2026-06-29 11:12:34,133,-0.63648,0.02129,-0.65777,0.580684,0.251799
2026-06-29 11:12:34,134,-0.990355,0.014067,-1.004422,0.568616,0.066405
2026-06-29 11:12:34,135,-0.977775,0.021389,-0.999163,0.541754,0.042173
2026-06-29 11:12:34,136,-0.708118,0.01134,-0.719459,0.549911,0.190182
2026-06-29 11:12:35,137,-1.033785,0.009478,-1.043263,0.789794,0.268163
2026-06-29 11:12:35,138,-1.679352,0.019119,-1.69847,0.506376,-0.342859
2026-06-29 11:12:36,139,-0.675344,0.012713,-0.688057,0.549976,0.205947
2026-06-29 11:12:36,140,-0.381659,0.015416,-0.397075,0.702104,0.503567
2026-06-29 11:12:36,141,-0.789596,0.012617,-0.802212,0.523168,0.122062
2026-06-29 11:12:36,142,-1.249256,0.026794,-1.276051,0.820214,0.182189
2026-06-29 11:12:36,143,-0.667554,0.012214,-0.679767,0.643431,0.303547
2026-06-29 11:12:37,144,-1.009533,0.018399,-1.027932,0.624775,0.110809
2026-06-29 11:12:37,145,-0.444636,0.015219,-0.459855,0.611539,0.381611
2026-06-29 11:12:37,146,-1.261764,0.029486,-1.29125,0.729824,0.084199
2026-06-29 11:12:37,147,-0.868025,0.020088,-0.888113,0.569042,0.124985
2026-06-29 11:12:38,148,-0.869627,0.011052,-0.880679,0.537701,0.097361
2026-06-29 11:12:38,149,-0.958035,0.009687,-0.967722,0.770765,0.286904
2026-06-29 11:12:38,150,-0.70374,0.018287,-0.722027,0.89111,0.530096
2026-06-29 11:12:39,151,-0.373839,0.014776,-0.388616,0.745199,0.550891
2026-06-29 11:12:39,152,-0.870871,0.015929,-0.886801,0.7444,0.300999
2026-06-29 11:12:40,153,-1.336407,0.020555,-1.356963,0.592685,-0.085797
2026-06-29 11:12:40,154,-0.988215,0.007768,-0.995983,0.923198,0.425206
2026-06-29 11:12:41,155,-0.87529,0.007081,-0.882371,0.921704,0.480519
2026-06-29 11:12:41,156,-0.061686,0.01308,-0.074765,0.88535,0.847967
2026-06-29 11:12:42,157,-1.012428,0.014672,-1.0271,0.6869,0.173351
2026-06-29 11:12:42,158,-0.764729,0.010246,-0.774976,0.843615,0.456127
2026-06-29 11:12:42,159,-0.85744,0.023404,-0.880844,0.71919,0.278768
2026-06-29 11:12:43,160,-1.304952,0.027301,-1.332253,0.435343,-0.230783
2026-06-29 11:12:43,161,-0.764247,0.008068,-0.772315,0.915511,0.529353
2026-06-29 11:12:43,162,-0.276097,0.042841,-0.318938,0.610085,0.450616
2026-06-29 11:12:44,163,-0.771658,0.017971,-0.789629,0.746821,0.352006
2026-06-29 11:12:44,164,-0.971859,0.021661,-0.99352,0.464296,-0.032464
2026-06-29 11:12:44,165,-0.713055,0.013334,-0.726389,0.768019,0.404825
2026-06-29 11:12:44,166,-1.103472,0.019246,-1.122718,0.637168,0.075809
